tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2114,1013,6873,0,6872,1013,2.577314615249634,1.5548462867736816
3141,1157,5701,1,5697,1156,3.842806339263916,1.5595462322235107
4141,1735,4124,0,4109,1734,5.368943691253662,1.8789069652557373
5126,1291,3583,0,3572,1289,6.562579870223999,1.74037504196167
6018,636,3346,0,3335,634,6.6666419506073,1.555311679840088
6945,702,2353,0,2315,696,7.503291845321655,1.7175915241241455
7965,563,1472,0,1427,556,9.145291805267334,1.7294590473175049
8940,311,749,0,706,303,9.903250932693481,1.6744744777679443
