tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2113,6111,1775,1,1774,6111,-1,-1
3121,4098,2760,21,2757,4096,-1,-1
4091,3531,2328,50,2313,3530,-1,-1
5072,2195,2679,54,2667,2194,-1,-1
5964,1530,2452,54,2442,1527,-1,-1
6722,836,2219,223,2182,829,-1,-1
7799,522,1513,166,1471,512,-1,-1
8741,513,547,199,505,504,-1,-1
