tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2112,4869,3017,2,3016,4869,11.39060091972351,10.880300760269165
3122,4103,2755,20,2751,4102,17.385427474975586,11.41161322593689
4081,2956,2903,60,2889,2954,24.334067583084106,13.576347351074219
5001,2136,2738,125,2729,2132,29.052380323410034,12.041271448135376
5943,1329,2653,75,2645,1324,33.5099356174469,12.00083875656128
6741,1181,1874,204,1841,1170,40.202327251434326,11.640608310699463
7811,699,1336,154,1305,678,58.805991649627686,11.590290784835815
8542,502,558,398,520,489,53.61339330673218,11.356439113616943
