tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1820,734,7152,294,7151,734,2.3975069522857666,1.8500175476074219
2822,984,5874,320,5869,984,3.3276712894439697,1.5339016914367676
3754,1558,4301,387,4286,1557,4.592494487762451,2.010354995727539
4693,1133,3741,433,3730,1131,5.232332706451416,1.7066984176635742
5589,573,3409,429,3398,571,6.07239031791687,1.7057549953460693
6411,603,2452,534,2414,597,7.019038200378418,1.632319450378418
7406,495,1540,559,1495,488,10.25235629081726,1.6205615997314453
8292,234,826,648,781,228,9.177113771438599,1.8106863498687744
